"status","walkscore","description","updated","logo_url","more_info_icon","more_info_link","ws_link","help_link","snapped_lat","snapped_lon","transit__score","transit__description","transit__summary","bike__score","bike__description"
"1","43","Car-Dependent","2018-08-02 08:24:34.353890","https://cdn.walk.sc/images/api-logo.png","https://cdn.walk.sc/images/api-more-info.gif","https://www.redfin.com/how-walk-score-works","https://www.walkscore.com/score/loc/lat=35.9208925875/lng=-78.8130023701/?utm_source= kaustubhchaudhuri.com &utm_medium=ws_api&utm_campaign=ws_api","https://www.redfin.com/how-walk-score-works","35.9205","-78.813","null","null","null","39","Somewhat Bikeable"
"1","63","Somewhat Walkable","2018-07-08 20:37:47.170710","https://cdn.walk.sc/images/api-logo.png","https://cdn.walk.sc/images/api-more-info.gif","https://www.redfin.com/how-walk-score-works","https://www.walkscore.com/score/loc/lat=36.0078749675/lng=-78.934006001/?utm_source= kaustubhchaudhuri.com &utm_medium=ws_api&utm_campaign=ws_api","https://www.redfin.com/how-walk-score-works","36.0075","-78.9345","null","null","null","62","Bikeable"
"1","63","Somewhat Walkable","2018-07-08 20:37:47.170710","https://cdn.walk.sc/images/api-logo.png","https://cdn.walk.sc/images/api-more-info.gif","https://www.redfin.com/how-walk-score-works","https://www.walkscore.com/score/loc/lat=36.0078626012/lng=-78.934012423/?utm_source= kaustubhchaudhuri.com &utm_medium=ws_api&utm_campaign=ws_api","https://www.redfin.com/how-walk-score-works","36.0075","-78.9345","null","null","null","62","Bikeable"
"1","68","Somewhat Walkable","2018-04-13 06:13:59.515240","https://cdn.walk.sc/images/api-logo.png","https://cdn.walk.sc/images/api-more-info.gif","https://www.redfin.com/how-walk-score-works","https://www.walkscore.com/score/loc/lat=35.9920486164/lng=-78.8765516773/?utm_source= kaustubhchaudhuri.com &utm_medium=ws_api&utm_campaign=ws_api","https://www.redfin.com/how-walk-score-works","35.9925","-78.876","null","null","null","44","Somewhat Bikeable"
"1","27","Car-Dependent","2018-07-04 09:13:28.928350","https://cdn.walk.sc/images/api-logo.png","https://cdn.walk.sc/images/api-more-info.gif","https://www.redfin.com/how-walk-score-works","https://www.walkscore.com/score/loc/lat=35.9746143047/lng=-78.866764207/?utm_source= kaustubhchaudhuri.com &utm_medium=ws_api&utm_campaign=ws_api","https://www.redfin.com/how-walk-score-works","35.9745","-78.867","null","null","null","37","Somewhat Bikeable"
"1","53","Somewhat Walkable","2018-06-22 21:13:21.216631","https://cdn.walk.sc/images/api-logo.png","https://cdn.walk.sc/images/api-more-info.gif","https://www.redfin.com/how-walk-score-works","https://www.walkscore.com/score/loc/lat=35.96147856/lng=-78.97690079/?utm_source= kaustubhchaudhuri.com &utm_medium=ws_api&utm_campaign=ws_api","https://www.redfin.com/how-walk-score-works","35.961","-78.9765","null","null","null","45","Somewhat Bikeable"
"1","0","Car-Dependent","2018-10-08 23:52:52.229336","https://cdn.walk.sc/images/api-logo.png","https://cdn.walk.sc/images/api-more-info.gif","https://www.redfin.com/how-walk-score-works","https://www.walkscore.com/score/loc/lat=-78.8650053195/lng=35.9995375685/?utm_source= kaustubhchaudhuri.com &utm_medium=ws_api&utm_campaign=ws_api","https://www.redfin.com/how-walk-score-works","-78.8655","36.0","","","","",""
"1","41","Car-Dependent","2018-08-16 10:50:00.837440","https://cdn.walk.sc/images/api-logo.png","https://cdn.walk.sc/images/api-more-info.gif","https://www.redfin.com/how-walk-score-works","https://www.walkscore.com/score/loc/lat=36.02851726/lng=-78.90552739/?utm_source= kaustubhchaudhuri.com &utm_medium=ws_api&utm_campaign=ws_api","https://www.redfin.com/how-walk-score-works","36.0285","-78.906","null","null","null","68","Bikeable"
"1","7","Car-Dependent","2018-07-14 14:28:08.564680","https://cdn.walk.sc/images/api-logo.png","https://cdn.walk.sc/images/api-more-info.gif","https://www.redfin.com/how-walk-score-works","https://www.walkscore.com/score/loc/lat=35.94880453/lng=-78.88867969/?utm_source= kaustubhchaudhuri.com &utm_medium=ws_api&utm_campaign=ws_api","https://www.redfin.com/how-walk-score-works","35.949","-78.888","null","null","null","24","Somewhat Bikeable"
"1","17","Car-Dependent","2018-07-14 14:38:31.826820","https://cdn.walk.sc/images/api-logo.png","https://cdn.walk.sc/images/api-more-info.gif","https://www.redfin.com/how-walk-score-works","https://www.walkscore.com/score/loc/lat=36.03174358/lng=-78.96304155/?utm_source= kaustubhchaudhuri.com &utm_medium=ws_api&utm_campaign=ws_api","https://www.redfin.com/how-walk-score-works","36.0315","-78.963","null","null","null","31","Somewhat Bikeable"
